Question,Answer,Keywords
"Apakah kartu KIP/KKS/PKH wajib diupload?","Jika punya, SANGAT WAJIB diupload. Kartu bantuan sosial pemerintah (PIP/KIP) akan membantu kami mengusulkan beasiswa pendidikan jalur aspirasi/pemerintah untuk anak Anda.","kip, kks, pkh, kartu pintar, beasiswa, upload"
"Saya salah transfer ke rekening Yayasan lain, bagaimana?","Waduh. Pondok tidak bertanggung jawab atas kesalahan tujuan transfer. Anda harus mengurus sendiri ke Bank terkait untuk pembatalan/penarikan dana. Selalu cek nama penerima sebelum kirim uang!","salah transfer, uang hilang, salah rekening, tanggung jawab"
"Bagaimana cara mengetahui nomor kamar asrama saya?","Pembagian kamar (Kamar) biasanya diumumkan saat hari kedatangan (Check-in) di papan pengumuman pondok, atau diinfokan H-1 lewat grup WhatsApp wali santri. Sistem online jarang menampilkan ini demi keamanan.","kamar, asrama, pembagian, cek kamar"
"Apakah akun pendaftaran ini berlaku selamanya?","Akun biasanya hanya aktif selama periode pendaftaran tahun berjalan. Setelah tahun ajaran dimulai, data akan dimigrasi ke sistem akademik pusat dan akun pendaftaran mungkin dinonaktifkan/direset.","masa aktif akun, selamanya, data lama, login"
"Di mana saya bisa download brosur rincian biaya lengkap?","Di halaman depan website https://www.alikhsan-beji.app/ biasanya ada tombol 'Download Brosur' atau di menu 'Informasi'. File berbentuk PDF atau Gambar yang bisa disimpan di HP.","brosur, rincian biaya, download, pdf info"
"Ada nomor admin yang bisa dihubungi?","Tentu, Anda bisa menghubungi Admin kami via WhatsApp di 081218768593. Klik link ini untuk chat langsung: https://wa.me/6281218768593","admin, kontak, nomor wa, whatsapp, hubungi"
"Saya butuh bantuan teknis, hubungi siapa?","Untuk kendala teknis atau pendaftaran, silakan chat Admin Support di 081218768593 atau klik langsung: https://wa.me/6281218768593","bantuan, teknis, error, support, chat"
"Minta nomor WA admin dong.","Ini nomor WhatsApp Admin kami: 081218768593. Agar lebih cepat, silakan klik link ini: https://wa.me/6281218768593","minta nomor, no wa, whatsapp admin, telepon"
"Siapa yang bisa dihubungi kalau website error?","Silakan laporkan kendala website ke Admin di nomor 081218768593. Klik link berikut untuk terhubung ke WhatsApp: https://wa.me/6281218768593","lapor, error, kendala, website down, admin it"
"Apakah ada kontak person pendaftaran?","Ya, segala pertanyaan terkait pendaftaran bisa ditanyakan ke 081218768593. Link chat langsung: https://wa.me/6281218768593","cp, contact person, narahubung, tanya pendaftaran"
"Saya tidak bisa klik tombol finalisasi.","Pastikan Anda sudah mencentang kotak 'Saya menyetujui pernyataan di atas' di bagian bawah formulir. Jika belum dicentang, tombol finalisasi akan tetap non-aktif.","finalisasi, centang, setuju, syarat, tombol mati"
"Apakah bisa daftar lewat laptop?","Bisa sekali. Justru kami menyarankan mendaftar lewat Laptop/PC agar tampilan formulir lebih lebar dan meminimalisir kesalahan ketik dibandingkan lewat HP.","laptop, pc, komputer, daftar lewat mana, rekomendasi"
"Berapa lama validasi berkas fisik?","Verifikasi berkas fisik saat daftar ulang biasanya langsung selesai di tempat (one day service), asalkan semua berkas yang dibawa sudah lengkap sesuai persyaratan.","validasi, berkas fisik, lama proses, daftar ulang"
"Bagaimana jika nama di KTP dan KK orang tua berbeda?","Gunakan data yang tertera di KK (Kartu Keluarga) terbaru sebagai acuan utama, karena KK biasanya lebih sering diperbarui datanya dibanding KTP lama.","beda nama, ktp kk, data ortu, validasi"
"Apakah ada biaya tambahan untuk seragam?","Biaya seragam pondok biasanya sudah termasuk dalam rincian Biaya Daftar Ulang (Uang Masuk). Namun untuk seragam sekolah formal (OSIS/Pramuka) kadang dibeli terpisah di koperasi. Cek rincian biaya di brosur.","biaya seragam, baju, beli terpisah, uang gedung"
"Saya punya sertifikat tahfidz 5 juz, apakah dapat prioritas?","Tentu. Pendaftar dengan sertifikat tahfidz atau prestasi akademik biasanya mendapatkan poin plus saat seleksi kelas, dan berpotensi mendapatkan beasiswa prestasi jika kuota tersedia.","sertifikat, tahfidz, prestasi, prioritas, beasiswa"
"Apakah ada jemputan dari terminal Purwokerto?","Pondok tidak menyediakan layanan jemputan reguler. Namun jika Anda datang rombongan besar (studi banding), bisa konfirmasi ke humas untuk bantuan penunjuk jalan.","jemputan, terminal, stasiun, antar jemput, transportasi"
"Bagaimana kalau saya telat datang saat hari pertama masuk?","Wajib konfirmasi ke pengurus keamanan atau asrama. Keterlambatan tanpa kabar bisa dianggap mengundurkan diri atau mendapatkan sanksi indisipliner bagi santri lama.","telat, terlambat, check in, hari pertama, sanksi"
"Apakah uang saku santri dibatasi?","Ya, kami menyarankan uang saku tidak berlebihan. Rata-rata santri cukup dengan Rp 300rb - 500rb per bulan (di luar syahriyah), tergantung gaya hidup. Uang berlebih rawan hilang atau disalahgunakan.","uang saku, jajan, nominal, batasan, hemat"
"Saya bingung cara daftarnya, harus mulai dari mana?","Tenang, jangan bingung. Langkah pertamanya: 1. Buka https://www.alikhsan-beji.app/ 2. Klik tombol 'Buat Akun' 3. Masukkan Nama, Email, dan Password. 4. Cek email untuk verifikasi. Sudah sampai tahap mana Kak?","bingung, pusing, mulai dari mana, cara awal, tutorial"
"Assalamualaikum","Waalaikumsalam Warahmatullahi Wabarakatuh. Selamat datang di layanan informasi Pondok Pesantren Al-Ikhsan. Ada yang bisa saya bantu seputar pendaftaran atau info pondok?","assalamualaikum, salam, halo, hai, permisi"
"Halo admin bot","Halo! Saya asisten virtual Al-Ikhsan. Silakan tanya apa saja tentang pendaftaran, biaya, atau kegiatan pondok. Saya siap membantu.","halo, hai, hi, tes, pagi"
"Selamat Pagi","Selamat Pagi! Semoga hari Anda menyenangkan. Ada yang ingin ditanyakan terkait Pendaftaran Santri Baru?","pagi, selamat pagi, morning"
"Selamat Siang","Selamat Siang. Silakan, ada kendala atau pertanyaan apa yang bisa saya bantu?","siang, selamat siang"
"Selamat Sore","Selamat Sore. Layanan pendaftaran online kami buka 24 jam. Ada yang bisa dibantu?","sore, selamat sore"
"Selamat Malam","Selamat Malam. Jika butuh bantuan teknis mendesak di jam ini, silakan tinggalkan pesan atau coba reset password jika terkendala login. Ada pertanyaan lain?","malam, selamat malam"
"Terima kasih banyak infonya","Sama-sama! Senang bisa membantu. Jika nanti ada pertanyaan lagi, jangan ragu chat ke sini lagi ya. Semoga pendaftarannya lancar!","makasih, terima kasih, thanks, thank you, syukron"
"Oke makasih","Sama-sama. Sukses selalu untuk Anda dan Calon Santri. Wassalamualaikum.","oke, sip, makasih, thanks, ok"
"Daftarnya ribet banget sih","Mohon maaf jika terasa sulit. Sistem online ini dibuat untuk mengamankan data santri. Jika Anda mentok, boleh minta bantuan saudara untuk mengisikan, atau hubungi Admin WA kami di 081218768593 untuk dipandu pelan-pelan.","ribet, susah, sulit, gak ngerti, pusing"
"Alurnya gimana sih?","Alur singkatnya: Daftar Akun -> Verifikasi Email -> Login -> Isi Biodata Lengkap -> Upload Berkas -> Tunggu Verifikasi Admin -> Jika diterima, Lakukan Pembayaran & Daftar Ulang.","alur, flow, urutan, proses, langkah"
"Habis bikin akun terus ngapain?","Setelah bikin akun, cek Inbox/Spam email Anda, klik link verifikasi. Setelah itu Login kembali ke aplikasi, lalu mulai isi formulir biodata santri satu per satu sampai selesai.","habis daftar, selanjutnya, next step, terus apa"
"Saya gaptek gak bisa pakai HP","Tidak apa-apa. Boleh minta tolong anak/saudara untuk mengisikan data di HP mereka. Atau, Anda bisa datang langsung ke sekretariat pondok pada jam kerja untuk dipandu oleh panitia (bawa berkas lengkap ya).","gaptek, tidak bisa hp, tolong, manual"
"Mantap","Terima kasih! Kami berusaha memberikan pelayanan terbaik. Silakan lanjutkan pendaftarannya.","mantap, bagus, keren, sip"
"Sudah selesai","Alhamdulillah jika sudah selesai. Silakan pantau terus status pendaftaran Anda di dashboard secara berkala untuk melihat pengumuman kelulusan.","selesai, kelar, beres, sudah daftar"
"Apakah ada panduan videonya?","Saat ini panduan tersedia dalam bentuk teks di website. Namun langkahnya cukup mudah kok: Isi saja kolom-kolom yang diminta. Jika ada kotak merah, berarti itu wajib diisi.","video, tutorial, youtube, cara pakai"
"Sampai jumpa","Sampai jumpa kembali. Semoga sehat selalu!","dadah, bye, sampai jumpa, pamit"
"Woi","Halo, mohon gunakan bahasa yang sopan ya Kak. Ada yang bisa saya bantu terkait pendaftaran pondok?","woi, woy, p, tes"
"Bot nya pintar","Terima kasih pujiannya! Saya belajar dari informasi yang diberikan pengurus pondok untuk melayani Anda.","pintar, cerdas, smart, bagus"
"Bisa bicara dengan orang asli?","Bisa dong. Jika jawaban saya kurang jelas, silakan chat langsung ke Admin Manusia kami di WhatsApp: 081218768593 (Klik: https://wa.me/6281218768593).","orang, manusia, cs, customer service, admin asli"
"Apakah pendaftarannya ada sistem gelombang?","Ya, biasanya kami membuka 2-3 gelombang. Gelombang 1 biasanya lebih murah (uang pangkalnya) dibanding Gelombang 2 atau 3. Jadi saran kami, segera daftar di awal waktu agar lebih hemat.","gelombang, tahap, periode, kapan tutup, batch"
"Kalau kuota penuh apakah pendaftaran ditutup lebih awal?","Betul sekali. Pendaftaran otomatis ditutup jika kuota asrama putra/putri sudah terpenuhi, meskipun tanggal penutupan masih lama. Jadi prinsipnya siapa cepat dia dapat kursi.","kuota penuh, tutup awal, habis, penuh, slot"
"Apakah uang masuknya harus dibayar lunas sekaligus?","Idealnya lunas. Namun, kami memahami kondisi wali santri. Pembayaran bisa diangsur (dicicil) dengan kesepakatan tertulis saat wawancara/daftar ulang. Yang penting ada uang muka (DP) untuk mengunci kursi.","lunas, cicil, angsur, bayar bertahap, keringanan"
"Saya ragu anak saya bisa mandiri atau tidak.","Keraguan itu wajar. Insya Allah lingkungan pondok yang komunal (ramai teman) akan memaksa anak belajar mandiri secara alami. Teman sekamar dan pengurus akan membimbing cara cuci baju, lipat selimut, dll. Percayakan pada prosesnya.","mandiri, manja, ragu, takut, mental"
"Apakah ada tes baca tulis Al-Quran saat masuk?","Ada tes pemetaan (placement test). Tujuannya bukan untuk menolak yang belum bisa, tapi untuk menempatkan anak di kelas yang sesuai. Kalau belum bisa ngaji, masuk kelas dasar (Iqra/Jilid). Kalau sudah lancar, masuk kelas lanjutan.","tes ngaji, baca quran, seleksi, belum bisa, iqra"
"Kalau daftar sekarang, bayarnya nanti boleh?","Boleh daftar akun dan isi formulir dulu. Tapi status santri baru dianggap SAH dan mendapat kursi jika sudah melakukan pembayaran minimal biaya pendaftaran (formulir).","bayar nanti, daftar dulu, booking, kursi"
"Apakah biaya pendaftaran sudah termasuk kasur dan lemari?","Biaya daftar ulang biasanya sudah mencakup fasilitas lemari (loker) dan ranjang. Namun untuk kasur busa, bantal, dan sprei biasanya dibawa sendiri atau beli paket tambahan di koperasi pondok. Cek rincian di brosur ya.","fasilitas, kasur, lemari, termasuk apa, biaya"
"Berapa rata-rata uang saku yang wajar buat santri?","Saran kami antara Rp 10.000 - Rp 20.000 per hari (atau 300-500rb per bulan). Jangan terlalu besar agar anak tidak konsumtif dan tidak memicu iri hati teman yang lain.","uang saku, jajan, bekal, nominal, boros"
"Apakah boleh survei lokasi dulu sebelum bayar?","Sangat boleh dan disarankan! Silakan main ke Pondok Al-Ikhsan Beji untuk melihat asrama, kamar mandi, dan suasana ngajinya agar Anda dan anak lebih mantap sebelum mendaftar online.","survei, lihat lokasi, cek pondok, datang langsung"
"Apakah nanti ada pertemuan wali santri?","Ada. Saat hari kedatangan santri baru (serah terima), biasanya ada pertemuan massal wali santri dengan Pengasuh untuk penjelasan visi-misi dan akad pendidikan. Wajib hadir ya.","pertemuan, rapat, kumpul, serah terima, akad"
"Anak saya pindahan dari pondok lain, bisa masuk kelas berapa?","Santri pindahan akan dites dulu kitabnya. Jika kemampuannya setara kelas 2 Tsanawiyah, akan dimasukkan ke situ. Jadi tidak harus mengulang dari kelas 1 jika memang mumpuni.","pindahan, mutasi, masuk kelas, tes kitab"
"Ijazah SD anak saya belum keluar, pakai apa daftarnya?","Pakai Surat Keterangan Lulus (SKL) atau Surat Keterangan Aktif Sekolah dari SD/MI asal. Nanti kalau Ijazah asli sudah keluar, baru disusulkan fotokopinya ke panitia.","ijazah belum keluar, skl, surat keterangan, menyusul"
"Apakah pendaftaran ini resmi?","Sangat resmi. Aplikasi https://www.alikhsan-beji.app/ dikelola langsung oleh tim IT Pondok Pesantren Al-Ikhsan. Data Anda aman dan langsung masuk ke database sekretariat.","resmi, penipuan, valid, asli"
"Kalau anak saya punya KIP (Kartu Indonesia Pintar), apakah gratis?","KIP sangat membantu untuk pengajuan beasiswa PIP (Program Indonesia Pintar). Apakah gratis total atau hanya bantuan uang saku, itu tergantung kebijakan pemerintah dan kuota tahun tersebut. Tapi wajib diupload ya kartunya!","kip, gratis, beasiswa pemerintah, pip, bantuan"
"Apakah ada grup WA calon wali santri?","Biasanya belum ada. Grup resmi baru dibuat SETELAH santri dinyatakan diterima dan melakukan daftar ulang. Hati-hati jika ada grup tidak resmi yang meminta transfer uang.","grup wa, komunitas, forum, informasi"
"Apa yang harus diisi di kolom 'NISN' jika anak saya belum punya?","Kolom NISN wajib diisi angka. Jika belum memiliki NISN (misal lulusan luar negeri atau sekolah non-formal), silakan isi dengan angka 0 (nol) sebanyak 10 digit (0000000000) sebagai data sementara.","nisn, nomor induk, belum punya, kosong, 0"
"Kenapa kolom 'NIK' berwarna merah saat saya ketik?","Kolom NIK memiliki validasi otomatis. Pastikan Anda memasukkan tepat 16 digit angka sesuai yang tertera di Kartu Keluarga (KK). Jangan gunakan spasi atau tanda strip (-).","nik, merah, error, 16 digit, validasi"
"Saya bingung pilih 'Jenjang Pendidikan', bedanya apa?","Pilih 'Madrasah Tsanawiyah (MTs)' jika anak Anda lulusan SD/MI. Pilih 'Madrasah Aliyah (MA)' jika anak Anda lulusan SMP/MTs. Jangan sampai salah pilih karena menentukan kelas asrama nanti.","jenjang, mts, ma, sma, smp"
"Di bagian 'Data Wali', apakah harus isi Ayah atau Ibu?","Disarankan mengisi data Ayah Kandung sebagai Wali Utama. Jika Ayah sudah meninggal, silakan isi data Ibu Kandung atau Wali Lain (Kakek/Paman) yang bertanggung jawab membiayai santri.","data wali, ayah, ibu, meninggal, penanggung jawab"
"Kolom 'Nomor WhatsApp' harus nomor siapa?","Wajib diisi dengan Nomor WhatsApp Orang Tua/Wali yang aktif dan bisa dihubungi. Jangan isi nomor anak/santri, karena info tagihan dan pengumuman penting akan dikirim ke nomor tersebut.","nomor wa, whatsapp, nomor hp, kontak darurat"
"Bagaimana cara mengisi 'Alamat Lengkap'?","Isikan nama jalan, RT, RW, dan Dusun secara lengkap. Untuk Desa, Kecamatan, dan Kabupaten, silakan pilih dari menu pilihan (dropdown) yang tersedia agar data wilayahnya akurat.","alamat, rt rw, jalan, dusun, pengisian"
"Tombol 'Upload Foto' tidak merespon saat diklik.","Coba refresh halaman browser Anda. Jika masih tidak bisa, pastikan Anda memberikan izin akses kamera/galeri pada browser HP Anda. Atau coba gunakan browser Google Chrome.","upload foto, tombol mati, tidak bisa klik, galeri"
"Apakah kolom 'Prestasi' wajib diisi?","Kolom Prestasi bersifat Opsional (Boleh dikosongkan). Isi hanya jika anak Anda memiliki sertifikat juara (Lomba/Tahfidz) untuk pertimbangan poin plus atau beasiswa.","prestasi, juara, sertifikat, kosong, wajib"
"Ukuran baju seragam pakai standar apa?","Kami menggunakan standar ukuran nasional (S, M, L, XL, XXL). Jika anak Anda memiliki postur tubuh lebih besar dari rata-rata seusianya, disarankan memilih satu ukuran di atasnya (Upsize) agar aman.","ukuran baju, seragam, s m l xl, size chart"
"Apa maksud centang 'Saya menyetujui data di atas'?","Itu adalah konfirmasi hukum bahwa semua data yang Anda isikan adalah BENAR dan DAPAT DIPERTANGGUNGJAWABKAN. Anda wajib mencentang kotak tersebut agar tombol 'Daftar Sekarang' bisa diklik.","centang, setuju, konfirmasi, syarat, tombol daftar"
"Kenapa setelah klik 'Daftar' loadingnya lama sekali?","Itu tandanya sistem sedang mengirim data dan berkas Anda ke server. Mohon TUNGGU dan JANGAN di-refresh atau tekan tombol kembali sampai muncul pesan 'Pendaftaran Berhasil'.","loading, muter, lama, daftar, submit"
"Apakah data yang sudah disubmit bisa diedit lagi?","Setelah menekan tombol Daftar/Submit, data akan masuk ke tahap verifikasi dan tidak bisa diedit sendiri. Jika ada kesalahan fatal (salah nama/tanggal lahir), segera hubungi Admin WA: 081218768593.","edit data, revisi, salah isi, ubah, koreksi"
"File Ijazah saya formatnya PDF, apakah bisa diupload?","Sistem di halaman daftar.html biasanya menerima format Gambar (JPG/PNG) atau PDF. Namun, disarankan menggunakan JPG/PNG agar lebih mudah dicek oleh admin lewat HP. Pastikan ukurannya di bawah 2MB.","format file, pdf, jpg, upload ijazah, tipe file"
"Apa yang harus dilakukan setelah muncul tulisan 'Pendaftaran Berhasil'?","Selamat! Langkah selanjutnya adalah cek WhatsApp atau Email Anda. Anda akan menerima Nomor Pendaftaran dan instruksi cara pembayaran/daftar ulang. Simpan bukti pendaftaran tersebut (screenshot).","berhasil, sukses, what next, selanjutnya, bukti"
"Bagaimana jika saya tidak punya email untuk diisi?","Email wajib diisi untuk akun pengguna. Jika tidak punya, silakan minta tolong operator warnet atau saudara untuk membuatkan akun Gmail baru. Gratis dan cepat kok.","email, tidak punya, gmail, bikin akun, syarat"Question,Answer,Keywords
"Bagaimana cara mengecek status kelulusan saya?","Caranya mudah: 1. Buka halaman https://www.alikhsan-beji.app/cek-status.html 2. Masukkan Nomor Pendaftaran atau Email yang didaftarkan pada kolom pencarian. 3. Klik tombol 'Cek Status'. Hasilnya akan muncul di bawahnya.","cek status, kelulusan, diterima gak, hasil seleksi, lihat pengumuman"
"Saya lupa Nomor Pendaftaran saya, lihat dimana?","Coba cek kotak masuk (Inbox) atau Spam di Email Anda, biasanya ada email konfirmasi saat awal mendaftar yang berisi Nomor Pendaftaran. Atau cek riwayat chat WhatsApp dari admin. Jika hilang semua, silakan hubungi Admin WA: 081218768593 dengan menyebutkan Nama Lengkap.","lupa nomor, no pendaftaran, id registrasi, hilang, cek nomor"
"Muncul pesan 'Data Tidak Ditemukan' saat cek status.","Artinya nomor atau email yang Anda masukkan salah ketik (typo) atau belum terdaftar di sistem kami. Pastikan tidak ada spasi tambahan. Coba gunakan Email saja jika lupa nomor pendaftarannya.","data tidak ditemukan, not found, salah, error pencarian, gak ketemu"
"Status saya tertulis 'Menunggu Verifikasi', maksudnya apa?","Artinya data dan berkas yang Anda upload sedang dalam antrean pengecekan oleh panitia. Mohon bersabar, proses ini biasanya memakan waktu 1-3 hari kerja tergantung banyaknya pendaftar.","menunggu verifikasi, pending, on process, sedang diperiksa, antrean"
"Status saya 'DITERIMA', apa yang harus saya lakukan?","Alhamdulillah, selamat! Langkah selanjutnya: 1. Download/Cetak Bukti Diterima. 2. Segera lakukan Daftar Ulang (Pembayaran) sesuai instruksi yang muncul. 3. Siapkan berkas fisik untuk dibawa ke pondok.","diterima, lulus, lolos, what next, langkah selanjutnya"
"Status saya 'Revisi Berkas' atau 'Ditolak', kenapa?","Biasanya ada dokumen yang buram, salah upload (misal upload foto selfie di kolom KK), atau data tidak sinkron. Silakan login kembali ke akun Anda, baca catatan dari admin, dan upload ulang berkas yang diminta sesegera mungkin.","revisi, ditolak, berkas salah, perbaiki, upload ulang"
"Kenapa status saya masih 'Belum Lunas' padahal sudah transfer?","Sistem butuh waktu untuk memvalidasi mutasi bank. Jika sudah lebih dari 24 jam status belum berubah, silakan kirim foto bukti transfer ke WhatsApp Bendahara/Admin di 081218768593 untuk diverifikasi manual.","belum lunas, status bayar, konfirmasi, pending payment"
"Apakah saya bisa cek status lewat HP?","Bisa banget. Halaman cek status kami responsif. Cukup buka linknya di browser HP (Chrome/Safari), masukkan nomor pendaftaran, dan klik Cek.","cek lewat hp, mobile, smartphone, pantau"
"Sampai kapan pengumuman kelulusan bisa dicek?","Halaman cek status bisa diakses selama masa periode pendaftaran santri baru berlangsung (biasanya sampai awal tahun ajaran baru dimulai).","batas waktu, kapan pengumuman, periode, jadwal"
"Tombol 'Cek' tidak berfungsi atau loading terus.","Cek koneksi internet Anda. Jika sinyal bagus tapi tetap macet, coba refresh halaman atau hapus cache browser Anda. Terkadang server sedang sibuk jika banyak yang mengakses bersamaan.","tombol macet, loading, error, hang, tidak muncul"
"Apakah hasil di web cek status ini valid/resmi?","Ya, data yang tampil di halaman cek status adalah data *real-time* dari server database panitia Penerimaan Santri Baru (PSB) Pondok Pesantren Al-Ikhsan.","valid, resmi, asli, akurat, real time"
"Status saya 'Cadangan', artinya apa?","Artinya kuota asrama saat ini penuh, namun Anda memenuhi syarat. Anda masuk daftar tunggu (Waiting List). Jika ada santri diterima yang mengundurkan diri, Anda akan diprioritaskan untuk masuk.","cadangan, waiting list, daftar tunggu, kuota penuh"
"Bagaimana cara membuat akun pendaftar pertama kali?","Buka https://www.alikhsan-beji.app/ lalu klik Daftar. Isi nama lengkap, email/nomor WA aktif, buat password, centang persetujuan, dan klik Daftar. Setelah itu cek email/WA untuk verifikasi bila diminta.","buat akun, register, daftar pertama, sign up, bikin password"
"Apakah wajib punya email aktif untuk mendaftar?","Sangat dianjurkan memakai email aktif karena notifikasi verifikasi, reset password, dan status akan dikirim ke sana. Jika belum punya, buat email baru sebelum mendaftar.","email wajib, akun email, notifikasi, verifikasi"
"Kapan email verifikasi dikirim setelah daftar?","Biasanya langsung beberapa detik setelah tombol Daftar diklik. Jika belum masuk, cek folder Spam/Promosi atau tunggu 1-2 menit sebelum minta kirim ulang.","email verifikasi, kapan masuk, spam, kirim ulang"
"Saya tidak menerima email verifikasi, apa yang harus saya lakukan?","Cek Spam/Promosi, pastikan penulisan email benar, lalu klik tombol Kirim Ulang di halaman verifikasi. Jika masih gagal, ubah email di profil atau hubungi admin.","email tidak masuk, verifikasi gagal, kirim ulang, ubah email"
"Bisakah mendaftar hanya pakai nomor WhatsApp tanpa email?","Saat ini pendaftaran utama memakai email. Nomor WhatsApp digunakan untuk kontak admin. Disarankan tetap memiliki email untuk reset password dan notifikasi resmi.","tanpa email, hanya wa, wajib email, kontak wa"
"Boleh pakai email orang tua untuk mendaftar?","Boleh, asalkan email tersebut aktif dan bisa diakses saat verifikasi atau reset password. Pastikan orang tua tahu kredensialnya.","email orang tua, pakai email lain, akses email"
"Bagaimana cara reset password akun pendaftar?","Di halaman login, klik Lupa Password lalu masukkan email terdaftar. Sistem akan mengirim link reset ke email. Ikuti tautan dan setel password baru.","reset password, lupa sandi, ganti password, lupa akun"
"Berapa panjang minimal password yang diperbolehkan?","Gunakan minimal 8 karakter dengan kombinasi huruf dan angka agar lebih aman. Hindari memakai tanggal lahir atau nama sendiri.","minimal password, 8 karakter, keamanan, kombinasi"
"Apakah saya bisa login di dua perangkat sekaligus?","Bisa. Akun bisa diakses di laptop/HP. Pastikan logout dari perangkat umum dan jangan bagikan password ke orang lain.","multi device, dua perangkat, hp dan laptop, keamanan"
"Apakah akun pendaftar bisa dipakai ulang tahun depan?","Akun tetap ada, tapi data pendaftaran mengikuti periode berjalan. Jika daftar tahun berikutnya, silakan login dengan akun lama lalu isi formulir baru sesuai gelombang aktif.","akun lama, tahun depan, periodik, gelombang baru"
"Apa langkah pertama setelah berhasil membuat akun?","Setelah login, buka dashboard pendaftar, ikuti checklist: lengkapi biodata, unggah berkas, pilih jenjang/golongan, dan lanjut ke pembayaran jika diminta.","langkah awal, checklist, dashboard, setelah login"
"Bagaimana cara mengisi biodata pribadi di dashboard?","Masuk ke menu Biodata, lengkapi kolom wajib seperti NIK, tempat/tanggal lahir, alamat, sekolah asal, lalu klik Simpan. Anda bisa mengedit sebelum verifikasi selesai.","isi biodata, simpan data, nik, tanggal lahir, edit"
"Apakah biodata bisa disimpan sebagian dan dilanjutkan nanti?","Bisa. Klik Simpan untuk menyimpan draf. Data tersimpan per bagian, jadi Anda bisa lanjutkan pengisian lain waktu sebelum dikunci panitia.","simpan draf, lanjut nanti, parsial, edit data"
"Apakah kolom NIK wajib diisi?","Ya, NIK diperlukan untuk validasi identitas. Jika belum punya e-KTP (misal usia belum cukup), gunakan NIK di Kartu Keluarga.","nik wajib, identitas, kk, ktp"
"Bagaimana aturan penulisan nama di formulir?","Gunakan nama lengkap sesuai ijazah atau dokumen resmi, huruf kapital di awal kata, tanpa gelar. Hindari singkatan yang tidak ada di dokumen.","penulisan nama, sesuai ijazah, format nama, kapital"
"Bagaimana cara mengisi data orang tua?","Isi data Ayah/Ibu pada menu Orang Tua: nama, pekerjaan, pendidikan, penghasilan, dan nomor kontak. Data ini dipakai untuk komunikasi dan verifikasi keringanan biaya.","data orang tua, ayah ibu, nomor kontak, pekerjaan"
"Apakah saya harus mengisi data wali juga?","Jika Anda tinggal dengan wali atau nomor darurat berbeda, isi data wali. Jika tidak, cukup lengkapi data orang tua.","data wali, kontak darurat, opsional"
"Saya tidak punya NISN, boleh dikosongkan?","Jika tidak memiliki NISN, isi dengan tanda '-' atau kosongkan jika kolom tidak wajib. Namun, jika ada, mohon diisi untuk kelengkapan data sekolah.","nisn, tidak punya nisn, isi nisn, sekolah asal"
"Bagaimana mengisi alamat jika saya tinggal di luar negeri?","Pilih negara/provinsi sesuai opsi terdekat, tulis alamat lengkap di kolom detail alamat. Sertakan kode pos dan nomor WA yang aktif di Indonesia.","alamat luar negeri, kode pos, negara, provinsi"
"Bagaimana memilih jenjang MI/MTs/MA yang tepat?","Pilih jenjang sesuai ijazah terakhir dan usia. Jika ragu, konsultasikan dengan admin atau pihak sekolah asal untuk rekomendasi jenjang.","pilih jenjang, mi, mts, ma, ijazah terakhir"
"Apakah saya bisa mengganti pilihan jenjang setelah disimpan?","Bisa diubah sebelum berkas diverifikasi. Jika sudah dikunci panitia, hubungi admin untuk permohonan perubahan jenjang.","ubah jenjang, ganti pilihan, sebelum verifikasi, kunci data"
"Bagaimana cara mengunggah pas foto santri?","Masuk menu Upload Berkas, pilih Pas Foto, unggah file JPG/PNG dengan wajah jelas dan background polos. Pastikan ukuran sesuai ketentuan.","upload pas foto, unggah foto, jpg, png, wajah jelas"
"Berapa ukuran maksimal file yang boleh diunggah?","Umumnya maksimal 2 MB per file. Jika ukuran lebih besar, kompres terlebih dahulu sebelum unggah.","batas ukuran, 2 mb, kompres, upload gagal"
"Format file apa saja yang diterima untuk berkas?","Foto menerima JPG/PNG, dokumen menerima PDF. Hindari format lain seperti HEIC atau DOCX agar tidak ditolak sistem.","format file, jpg, png, pdf, heic, docx"
"Kenapa muncul error 413 atau file terlalu besar saat upload?","Error 413 berarti file melebihi batas. Kompres file atau turunkan resolusi foto lalu unggah ulang.","error 413, file besar, kompres, gagal upload"
"Bagaimana mengganti foto yang sudah diunggah?","Klik hapus atau ganti pada berkas terkait, lalu unggah file baru dan simpan. Pastikan refresh halaman setelah berhasil.","ganti foto, unggah ulang, hapus berkas, update file"
"Apakah background foto harus merah atau biru?","Ikuti ketentuan panitia, biasanya background polos (biru/merah) diterima asalkan wajah jelas dan tidak ada filter.","latar foto, background merah, background biru, ketentuan foto"
"Bolehkah unggah foto KK atau akta menggunakan kamera HP?","Boleh, selama teks terbaca jelas dan tidak blur. Pastikan cahaya cukup dan dokumen penuh tidak terpotong.","foto kk, akta kelahiran, kamera hp, jelas terbaca"
"Bisakah saya menambah dokumen susulan setelah submit?","Bisa selama status belum diverifikasi. Unggah dokumen tambahan di menu Upload Berkas lalu klik Simpan.","dokumen susulan, tambah berkas, sebelum verifikasi"
"Bagaimana cara memberi nama file sebelum diunggah?","Gunakan format yang jelas: NAMA_BERKAS_NAMA_SANTRI.pdf (contoh: KK_AHMAD.pdf) agar admin mudah memeriksa.","nama file, format file, penamaan, rapi"
